Nomes,Classificacao,Vida,Obra,Retrato
São João de Deus,religioso (OH) e fundador,1495–1550,,/wiki/Ficheiro:John_of_god_murillo.jpg
São Gonçalo Garcia,religioso (OFM) e mártir,1557–1597,n. Navarra Apóstolo do Oriente missionário jesuíta 1619 Paulo V,"/wiki/Ficheiro:Statue_of_St_Gonsalo_Garcia_of_Bassein,_India_-_20120620.png"
São João de Brito,"religioso (SJ), sacerdote e mártir",1647–1693,n. Aragão Rainha de Portugal Infanta de Aragão 1526 Clemente VII,/wiki/Ficheiro:St._John_De_Britto.jpg
Santa Beatriz da Silva,"virgem, religiosa (OIC) e fundadora",1424–1492,Fundador da Ordem Hospitaleira assistência aos pobres e doentes 1630 Urbano VIII,/wiki/Ficheiro:RostroBeatrizSilva.jpg
São Nuno de Santa Maria,religioso (OCarm) e místico,1360–1431,Mártir do Japão missionário franciscano 1627 Urbano VIII,/wiki/Ficheiro:Nun%27%C3%81lvares_Pereira_-_Adolfo_de_Sousa_Rodrigues_(Museu_Militar_de_Lisboa).png
São José Vaz,presbítero e religioso (OMI),1651–1711,Mártir da Índia missionário jesuíta 1853 Pio IX,/wiki/Ficheiro:Joze-Vaz.jpg
São Francisco Marto,vidente de Fátima,1908–1919,Fundadora da Ordem da Imaculada Conceição 1926 Pio XI,/wiki/Ficheiro:Francisco_Marto2.jpg
Santa Jacinta Marto,vidente de Fátima,1910–1920,Santo Condestável 1918 Bento XV,/wiki/Ficheiro:Jacinta-marto-fatima-portugal-1917.jpg
Santo André de Soveral,"presbítero, religioso (SJ) e mártir",1572–645,Apóstolo do Ceilão 1995 João Paulo II,"/wiki/Ficheiro:Monumento_aos_M%C3%A1rtires,_S%C3%A3o_Gon%C3%A7alo_do_Amarante_(RN).jpg"
Santo Ambrósio Francisco Ferro,presbítero e mártir,,Pastorinhos de Fátima 2000 João Paulo II,/wiki/Protom%C3%A1rtires_do_Brasil
São Mateus Moreira,mártir,,,/wiki/S%C3%A3o_Mateus_Moreira
São Domingos Carvalho,mártir,,Protomártires do Brasil 2000 João Paulo II,/wiki/Protom%C3%A1rtires_do_Brasil
Santos António Vilela e sua filha,mártires,,,/wiki/Protom%C3%A1rtires_do_Brasil
São José do Porto,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Francisco de Bastos,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Diogo Pereira,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São João Lostau Navarro,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
Santo António Vilela Cid,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
Santos Estêvão Machado de Miranda e suas duas filhas,mártires,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Vicente de Sousa Pereira,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Francisco Mendes Pereira,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São João da Silveira,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Simão Correia,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
Santo António Baracho,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
Santos João Martins e sete companheiros,mártires,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Manuel Rodrigues de Moura e sua esposa,mártires,,,/wiki/Protom%C3%A1rtires_do_Brasil
Uma filha de Francisco Dias,mártir,,,/wiki/Protom%C3%A1rtires_do_Brasil
São Bartolomeu dos Mártires,arcebispo e religioso (OP),1514–1590,,/wiki/Ficheiro:Beato_Bartolomeo_Fernandes_dei_Martiri.jpg
Beato D.,infante e mártir,infante e mártir,,/wiki/Ficheiro:FernandoFesBatalha.jpg
Beato Amadeu da Silva,"presbítero, religioso (OFM), reformador, fundador e místico",1431–1482,,/wiki/Ficheiro:Beato_Amadeo_da_Silva.jpg
Beato Gonçalo de Amarante,presbítero e religioso (OP),1187–1262,Arcebispo Primaz de Braga 2001 João Paulo II 2019,"/wiki/Ficheiro:S%C3%A3o_Gon%C3%A7alo_de_Amarante_(1618-25)_-_Ant%C3%B3nio_Andr%C3%A9_(Museu_de_Aveiro),_cropped.png"
Beata Joana Princesa,"princesa, virgem e mística",1452–1490,,/wiki/Ficheiro:SantaJoana_Pintura.jpg
Beata Teresa de Portugal,rainha e religiosa (OCist),1176–1250,(† 40 anos) Mártir em Fez Infante de Portugal Grão-Mestre da Ordem de Avis Culto Imemorial 5 de Junho,/wiki/Ficheiro:Teresa_de_Portugal.jpg
Beata Sancha de Portugal,"infanta, virgem e religiosa (OCist)",1180–1229,"Reformador da Ordem Franciscana e fundador do ramo amadeísta eremita, irmão de",/wiki/Ficheiro:Sancha_de_Portugal.jpg
Beato Frei Gil,presbítero e religioso (OP),1190–1265,eremita frade dominicano,/wiki/Ficheiro:Sfreigil.JPG
Beato Gonçalo de Lagos,religioso (OSA),1360–1442,Princesa de Portugal noviça dominicana,/wiki/Ficheiro:S%C3%A3o_Gon%C3%A7alo_de_Lagos.jpg
Beata Mafalda de Portugal,"rainha, virgem e religiosa (OCist)",1195–1256,Rainha de Leão Infanta de Portugal monja cisterciense,/wiki/Ficheiro:Mafalda_de_Portugal.jpg
Beato Inácio de Azevedo,"presbítero, religioso (SJ) e mártir",1526–1570,,/wiki/Ficheiro:MartiresBrasil.jpg
Beato Diogo de Andrade,"presbítero, religioso (SJ) e mártir",1531–1570,frade dominicano,/wiki/M%C3%A1rtires_do_Brasil
Beato Brás Ribeiro,religioso (SJ) e mártir,1546–1570,frade agostinho,/wiki/M%C3%A1rtires_do_Brasil
Beato António Correia,religioso (SJ) e mártir,1553–1570,Rainha de Castela Infanta de Portugal monja cisterciense,/wiki/M%C3%A1rtires_do_Brasil
Beato António Fernandes,religioso (SJ) e mártir,1552–1570,Mártires do Brasil missionários jesuítas,/wiki/M%C3%A1rtires_do_Brasil
Beato António Soares,religioso (SJ) e mártir,,,/wiki/M%C3%A1rtires_do_Brasil
Beato Bento de Castro,religioso (SJ) e mártir,1543–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Francisco Álvares,religioso (SJ) e mártir,1539–1570,,/wiki/Beato_Francisco_%C3%81lvares
Beato Simão da Costa,religioso (SJ) e mártir,1551–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Simão Lopes,religioso (SJ) e mártir,1552–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Francisco de Magalhães,religioso (SJ) e mártir,1549–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Gaspar Álvares,religioso (SJ) e mártir,1552–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Nicolau Dinis,religioso (SJ) e mártir,1553–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Pero Nunes,religioso (SJ) e mártir,1551–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Pedro de Fontoura,religioso (SJ) e mártir,1547–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato João Fernandes,religioso (SJ) e mártir,religioso (SJ) e mártir,,/wiki/M%C3%A1rtires_do_Brasil
Beato João Fernandes,religioso (SJ) e mártir,religioso (SJ) e mártir,,/wiki/M%C3%A1rtires_do_Brasil
Beato Luís Correia,religioso (SJ) e mártir,1553–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Luís Rodrigues,religioso (SJ) e mártir,1554–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Manuel Rodrigues,religioso (SJ) e mártir,1550–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Marcos Caldeira,religioso (SJ) e mártir,1547–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Manuel Álvares,religioso (SJ) e mártir,1546–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Manuel Fernandes,religioso (SJ) e mártir,1551–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Manuel Pacheco,religioso (SJ) e mártir,1551–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Amaro Vaz,religioso (SJ) e mártir,1553–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Domingos Fernandes,religioso (SJ) e mártir,1551–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Gonçalo Henriques,religioso (SJ) e mártir,1550–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Álvaro Mendes Borralho,religioso (SJ) e mártir,1551–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Diogo Pires Mimoso,religioso (SJ) e mártir,1546–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato Aleixo Delgado,religioso (SJ) e mártir,1555–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato André Gonçalves,religioso (SJ) e mártir,1552–1570,,/wiki/M%C3%A1rtires_do_Brasil
Beato João Adaúto,mártir,,,/wiki/M%C3%A1rtires_do_Brasil
Beato João Baptista Machado,"presbítero, religioso (SJ) e mártir",1582–1617,Mártires do Japão,/wiki/Ficheiro:Mon_joao_baptista_machado_angra.JPG
Beatos,mártires,",",e Inácio mártires,/wiki/Ficheiro:ChristianMartyrsOfNagasaki.jpg
Beato Ambrósio Fernandes,religioso (SJ) e mártir,1551–1620,,/wiki/Ficheiro:ChristianMartyrsOfNagasaki.jpg
Beato Miguel de Carvalho,"presbítero, religioso (SJ) e mártir",1579–1624,,/wiki/Ficheiro:Beato_Miguel_de_Carvalho.png
Beato Diogo de Carvalho,"presbítero, religioso (SJ) e mártir",1578–1624,,/wiki/Ficheiro:ChristianMartyrsOfNagasaki.jpg
Beato Francisco Pacheco,"presbítero, religioso (SJ) e mártir",1568–1626,,/wiki/Ficheiro:Francisco_Pacheco_Capela_de_Nossa_Senhora_do_Pilar.jpg
Beato Vicente de Santo António,"presbítero, religioso (OSA) e mártir",1590–1632,,/wiki/Ficheiro:Statue_of_S%C3%A3o_Vicente_de_Albufeira_15_May_2015_(1).JPG
Beato António Francisco,"presbítero, religioso (SJ) e mártir",1533–1583,Mártires da Índia missionários jesuítas,"/wiki/Ficheiro:Mart%C3%ADrio_do_Beato_Francisco_Aranha_(1630-40)_-_Manuel_Henriques_(MNMC,_Inv._2442).png"
Beato Francisco Aranha,religioso (SJ) e mártir,1551–1583,,/wiki/Beato_Francisco_Aranha
Beato Redento da Cruz,religioso (OCarm) e mártir,1598–1638,Mártires na Ilha de Samatra missionários carmelitas,/wiki/Ficheiro:Denis_of_the_Nativity_and_Redemptus_of_the_Cross_cropped.jpg
Beato Dionísio da Natividade,"presbítero, religioso (OCarm) e mártir",1600–1638,,/w/index.php?title=Beato_Dion%C3%ADsio_da_Natividade&action=edit&redlink=1
Beata Maria do Divino Coração,virgem e religiosa (CBP),1863–1899,Mensageira do Sagrado Coração de Jesus,/wiki/Ficheiro:Maria_Droste_zu_Vischering_M%C3%BCnster.jpg
Beata Alexandrina de Balazar,virgem e mística,1904–1955,Mística,/wiki/Ficheiro:Alexandrina_de_Balazar.jpg
Beata Rita Amada de Jesus,"virgem, religiosa e fundadora",1848–1913,Fundadora do Instituto das Irmãs de Jesus Maria José educação e auxílio a meninas desvalidas,/wiki/Ficheiro:Rita_Amada_de_Jesus.jpg
Beato Carlos de Áustria,"imperador, rei e pai de família",1887–1922,Imperador da Áustria Rei da Hungria promotor da Paz e defensor da Doutrina Social da Igreja,/wiki/Ficheiro:Charles_I_of_Austria.jpg
Beata Maria Clara do Menino Jesus,"virgem, religiosa (FHIC) e fundadora",1843–1899,fundadora da Congregação das Irmãs Franciscanas Hospitaleiras da Imaculada Conceição assistência aos pobres,/wiki/Ficheiro:Irm%C3%A3_Maria_Clara.png
Beata Francisca de Paula de Jesus,confessora,1810–1895,assistência aos pobres no Brasil,/wiki/Ficheiro:Santa_Nh%C3%A1_Chica_de_Baependi.jpg
Beato Mário Félix,religioso (FSC) e mártir,1860–1936,Mártir da Guerra Civil Espanhola,/w/index.php?title=Beato_M%C3%A1rio_F%C3%A9lix&action=edit&redlink=1
